scheme,window,replicate,w,S_GC,N,mean_k
block,Post-transition,7,50,0.8372020075282308,3188,3.4265997490589712
block,Post-transition,7,75,0.7720685111989459,2277,2.8607817303469476
block,Post-transition,7,100,0.7466743782533256,1729,2.5540775014459225
block,Post-transition,7,150,0.6927710843373494,1162,2.216867469879518
block,Post-transition,7,200,0.6447831184056272,853,2.0351699882766705
block,Post-transition,7,300,0.5096153846153846,520,1.8269230769230769
block,Post-transition,7,400,0.40931372549019607,408,1.607843137254902
block,Post-transition,7,600,0.14035087719298245,228,1.4035087719298245
block,Post-transition,7,800,0.12987012987012986,154,1.2987012987012987
block,Post-transition,8,25,0.9114417286574567,5646,4.942614240170032
block,Post-transition,8,50,0.8515151515151516,3300,3.543030303030303
block,Post-transition,8,75,0.8047740835464621,2346,3.0170502983802217
block,Post-transition,8,100,0.7613762486126526,1802,2.6637069922308547
block,Post-transition,8,150,0.7018385291766587,1251,2.2158273381294964
block,Post-transition,8,200,0.6563876651982379,908,2.041850220264317
block,Post-transition,8,300,0.5313059033989267,559,1.8103756708407872
block,Post-transition,8,400,0.4090909090909091,396,1.601010101010101
block,Post-transition,8,600,0.16666666666666666,234,1.452991452991453
block,Post-transition,8,800,0.11585365853658537,164,1.2926829268292683
block,Post-transition,9,25,0.9052275960170697,5624,4.846372688477952
block,Post-transition,9,50,0.8446423088731962,3257,3.5191894381332514
block,Post-transition,9,75,0.7973206568712187,2314,3.004321521175454
block,Post-transition,9,100,0.7473800330943188,1813,2.6089354660783233
block,Post-transition,9,150,0.7101568951279934,1211,2.307184145334434
block,Post-transition,9,200,0.6382513661202186,915,2.0655737704918034
block,Post-transition,9,300,0.5070921985815603,564,1.7943262411347518
block,Post-transition,9,400,0.45161290322580644,403,1.6575682382133996
block,Post-transition,9,600,0.14285714285714285,245,1.420408163265306
block,Post-transition,9,800,0.10119047619047619,168,1.2857142857142858
block,Post-transition,10,25,0.9087465564738292,5808,4.871212121212121
block,Post-transition,10,50,0.8497751124437781,3335,3.553223388305847
block,Post-transition,10,75,0.7988945578231292,2352,2.995748299319728
block,Post-transition,10,100,0.7585458491589799,1843,2.644601193705914
block,Post-transition,10,150,0.7183770883054893,1257,2.2688941925218775
block,Post-transition,10,200,0.6492942453854506,921,2.0694896851248643
block,Post-transition,10,300,0.5070422535211268,568,1.778169014084507
block,Post-transition,10,400,0.3645320197044335,406,1.6059113300492611
block,Post-transition,10,600,0.19915254237288135,236,1.4491525423728813
block,Post-transition,10,800,0.13125,160,1.325
block,Post-transition,11,25,0.9032917984005951,5377,4.716012646457132
block,Post-transition,11,50,0.8552418046088932,3081,3.424212917883804
block,Post-transition,11,75,0.8008241758241759,2184,2.913003663003663
block,Post-transition,11,100,0.7494075829383886,1688,2.580568720379147
block,Post-transition,11,150,0.6804478897502153,1161,2.2256675279931093
block,Post-transition,11,200,0.6546329723225031,831,2.0481347773766547
block,Post-transition,11,300,0.5271317829457365,516,1.821705426356589
block,Post-transition,11,400,0.3973333333333333,375,1.632
block,Post-transition,11,600,0.1308411214953271,214,1.4205607476635513
block,Post-transition,11,800,0.08441558441558442,154,1.2597402597402598
block,Post-transition,12,25,0.9048023078228407,5893,4.909553707788902
block,Post-transition,12,50,0.8520231213872832,3460,3.576878612716763
block,Post-transition,12,75,0.7939843428100536,2427,3.015245158632056
block,Post-transition,12,100,0.7401041666666667,1920,2.638541666666667
block,Post-transition,12,150,0.7110939907550077,1298,2.315870570107858
block,Post-transition,12,200,0.6601842374616171,977,2.0716479017400204
block,Post-transition,12,300,0.5421686746987951,581,1.810671256454389
block,Post-transition,12,400,0.42142857142857143,420,1.638095238095238
block,Post-transition,12,600,0.1752988047808765,251,1.4422310756972112
block,Post-transition,12,800,0.10526315789473684,171,1.3216374269005848
block,Post-transition,13,25,0.9108469539375929,6057,5.017005118045237
block,Post-transition,13,50,0.8647260273972602,3504,3.6192922374429224
block,Post-transition,13,75,0.8152789005658853,2474,3.084074373484236
block,Post-transition,13,100,0.7749742533470649,1942,2.70648815653965
block,Post-transition,13,150,0.7354056103108415,1319,2.345716451857468
block,Post-transition,13,200,0.6506024096385542,996,2.0562248995983934
block,Post-transition,13,300,0.5533333333333333,600,1.8633333333333333
block,Post-transition,13,400,0.4315068493150685,438,1.643835616438356
block,Post-transition,13,600,0.1596958174904943,263,1.4448669201520912
block,Post-transition,13,800,0.11413043478260869,184,1.326086956521739
block,Post-transition,14,25,0.9006427915518824,5445,4.661524334251607
block,Post-transition,14,50,0.8411726804123711,3104,3.443298969072165
block,Post-transition,14,75,0.7962454212454212,2184,2.9514652014652016
block,Post-transition,14,100,0.7585193889541716,1702,2.599294947121034
block,Post-transition,14,150,0.6860068259385665,1172,2.1928327645051193
block,Post-transition,14,200,0.6272401433691757,837,2.028673835125448
block,Post-transition,14,300,0.5200764818355641,523,1.8049713193116634
block,Post-transition,14,400,0.4153846153846154,390,1.6153846153846154
block,Post-transition,14,600,0.11818181818181818,220,1.4272727272727272
block,Post-transition,14,800,0.08843537414965986,147,1.2653061224489797
block,Post-transition,15,25,0.9055090033874131,5609,4.850418969513282
block,Post-transition,15,50,0.8531468531468531,3289,3.5202189115232594
block,Post-transition,15,75,0.7980935875216638,2308,2.982668977469671
block,Post-transition,15,100,0.7520303194369248,1847,2.5901461829994585
block,Post-transition,15,150,0.696513470681458,1262,2.2519809825673534
block,Post-transition,15,200,0.6713819368879217,919,2.0783460282916213
block,Post-transition,15,300,0.4928571428571429,560,1.7821428571428573
block,Post-transition,15,400,0.4217171717171717,396,1.6414141414141414
block,Post-transition,15,600,0.16115702479338842,242,1.43801652892562
block,Post-transition,15,800,0.1111111111111111,162,1.3209876543209877
block,Post-transition,16,25,0.9076894153036285,5319,4.702763677382967
block,Post-transition,16,50,0.8488219895287958,3056,3.448298429319372
block,Post-transition,16,75,0.7905066179826563,2191,2.905522592423551
block,Post-transition,16,100,0.7511655011655012,1716,2.5256410256410255
block,Post-transition,16,150,0.6805084745762712,1180,2.1932203389830507
block,Post-transition,16,200,0.6346381969157769,843,2.02135231316726
block,Post-transition,16,300,0.5495145631067961,515,1.833009708737864
block,Post-transition,16,400,0.34190231362467866,389,1.583547557840617
block,Post-transition,16,600,0.10810810810810811,222,1.3873873873873874
block,Post-transition,16,800,0.11538461538461539,156,1.294871794871795
block,Post-transition,17,25,0.9085206481965499,5739,4.885520125457397
