scheme,w,Neutral,Post-transition,Pre-transition,ratio_post_over_neutral
binomial_full,200,1.8125494345977688,2.123508205775412,1.8725577096113455,1.1715587808211418
binomial_full,300,1.5893600292315886,1.8827906674593842,1.6627525605893287,1.1846218810282156
binomial_full,400,1.459741374304949,1.664260235800918,1.4964868940392608,1.140106230525493
binomial_full,600,1.2917588523441323,1.4667131116354302,1.3567620161960494,1.1354387925995717
binomial_full,800,1.2719581003564704,1.3461190902533011,1.3182197248710605,1.0583045855646085
block,25,4.272275198489356,4.826530313767487,4.446862596422588,1.129733008649375
block,50,3.1756470899773346,3.50949232457626,3.282049698626441,1.1051266797411383
block,75,2.706170435985044,2.9796442477631477,2.775533279568565,1.1010556497630792
block,100,2.4100106848907834,2.6267337506019874,2.4771941658173757,1.089926184589105
block,150,2.0597879927431286,2.263952324440806,2.110582956627168,1.0991190998379308
block,200,1.831364212737105,2.063250923308254,1.904439492796593,1.1266196581534034
block,300,1.5928205822173225,1.8128033744569634,1.6593480373148066,1.1381089588467075
block,400,1.4685984112535084,1.6185407847809492,1.5219533224219735,1.1020989620977861
block,600,1.3188593898890293,1.432478621412303,1.37854288854225,1.086149617157318
block,800,1.2669574079682873,1.3004749792974541,1.3326975648343866,1.0264551681993133
hypergeometric,25,4.216878306460277,4.736121455955321,4.383265818453614,1.123134487589922
hypergeometric,50,3.150982991922125,3.461133573534411,3.2290069291456023,1.0984297860088073
hypergeometric,75,2.6914868281779145,2.9548147655073143,2.7539924957781245,1.097837349442898
hypergeometric,100,2.3840309508050006,2.5815870062922968,2.451363736578358,1.082866397108053
hypergeometric,150,2.042996484428871,2.2321359275527555,2.0849567598398626,1.0925794266242996
hypergeometric,200,1.8102931425599724,2.0636911030536624,1.8810488497049511,1.1399762030448586
hypergeometric,300,1.5899635770176586,1.799848390348225,1.6642481239148,1.1320060511853067
hypergeometric,400,1.4613759514463112,1.6094022899222267,1.4996473766491314,1.1012924417768166
hypergeometric,600,1.2943916557949495,1.4393854900709864,1.3560858746217759,1.1120169723181574
hypergeometric,800,1.2717486085976182,1.2918380542942187,1.3260437379522654,1.0157967113632258
multinomial,25,4.225936375849481,4.740098058899823,4.384115744449217,1.121668107922469
multinomial,50,3.1570864173084976,3.4688973306226507,3.2399081347395655,1.0987654033176515
multinomial,75,2.684844139341125,2.94656729680354,2.749680940412371,1.0974816949808652
multinomial,100,2.3910957368294086,2.5844936868534023,2.452450775908201,1.0808825623521203
multinomial,150,2.049588120965247,2.232650697776122,2.091030759489473,1.089316763177112
multinomial,200,1.8169356188928487,2.0586594716073146,1.8847708171275754,1.1330393054112509
multinomial,300,1.583377961878048,1.7977132914313734,1.662282546082403,1.1353658663400252
multinomial,400,1.4594737240824756,1.6055522897499481,1.5021727666153089,1.1000898907990326
multinomial,600,1.289808009856879,1.4362604641184822,1.357327997655097,1.1135459333035573
multinomial,800,1.2700334309416799,1.291464886231556,1.3301370208290482,1.0168747174426627
raw,25,4.619825169058222,6.785477819465902,5.205953338696702,1.4687737243635044
raw,50,3.4507801418439716,4.926837847344355,3.879981676591846,1.427746087790928
raw,75,2.925705204608661,4.10496319164094,3.2205743136636165,1.4030679458664106
raw,100,2.617142857142857,3.5975213927412217,2.8987393249288327,1.3745987854360564
raw,150,2.236722306525038,3.087546239210851,2.46081319976429,1.3803887188873476
raw,200,1.993782383419689,2.719409282700422,2.197492163009404,1.3639448845145048
raw,300,1.7055016181229774,2.2960678488820356,1.8848920863309353,1.3462712814128064
raw,400,1.5606407322654463,2.132642487046632,1.711340206185567,1.3665172534301733
raw,600,1.416,1.8879456706281834,1.5060240963855422,1.333294965132898
raw,800,1.2592592592592593,1.6788990825688073,1.3963963963963963,1.3332433890987587
