scheme,window,w,S_GC,lo,hi,mean_k,N
binomial,Pre-transition,400,0.31881536882537514,0.30332890450102834,0.328639832410594,1.4983572468860566,329.76
binomial,Pre-transition,600,0.1774396528051202,0.17435897435897435,0.18123791102514508,1.355084571666162,191.64
binomial,Pre-transition,800,0.14620073224366498,0.12458677685950413,0.18164188752424046,1.325063862500238,118.76
binomial_full,Neutral,25,0.8814099146937113,0.8776512625729335,0.8851933712213852,4.212556291437584,5133.84
binomial_full,Neutral,50,0.8268425925399849,0.8194523425442601,0.8330990603415911,3.147790279036015,2965.96
binomial_full,Neutral,75,0.7812797100781022,0.7740473045397377,0.7872536762517116,2.692395217937348,2038.2
binomial_full,Neutral,100,0.7268465735107289,0.7165446656288298,0.7336030021890296,2.383235404187912,1587.36
binomial_full,Neutral,150,0.6119166220746401,0.6016218480355199,0.631610782527029,2.043245891807296,1036.28
binomial_full,Neutral,200,0.5358523363457236,0.525680455747105,0.5435592628786821,1.8125494345977688,754.08
binomial_full,Neutral,300,0.3662956288651565,0.3578330764148866,0.3736016333938294,1.5893600292315886,473.4
binomial_full,Neutral,400,0.18986161187791073,0.18346649370559273,0.19721678712614302,1.459741374304949,317.92
binomial_full,Neutral,600,0.11128026441333067,0.08771510198657897,0.12352941176470589,1.2917588523441323,172.24
binomial_full,Neutral,800,0.08991418229893718,0.08256880733944955,0.09381061541174396,1.2719581003564704,109.44
binomial_full,Post-transition,25,0.9061000664400851,0.9024311028891282,0.9086203988007113,4.9573118478295415,5772.52
binomial_full,Post-transition,50,0.8576256075200288,0.8520326491852221,0.8631856063685983,3.603886169329375,3405.28
binomial_full,Post-transition,75,0.8050876277659605,0.7952644298545938,0.8120217256763247,3.094440385876881,2432.64
binomial_full,Post-transition,100,0.7672017027717842,0.7577816309488249,0.7746940274515758,2.7126448072097826,1905.76
binomial_full,Post-transition,150,0.7153877237120273,0.7025663593091801,0.7281995094688593,2.2989858778695123,1305.04
binomial_full,Post-transition,200,0.6735207026225996,0.6600314458772134,0.6901732648495434,2.123508205775412,968.68
binomial_full,Post-transition,300,0.5592323051928112,0.5444289927282138,0.5699603472609805,1.8827906674593842,589.56
binomial_full,Post-transition,400,0.4583838099000449,0.43773233344424256,0.4782608695652174,1.664260235800918,437.2
binomial_full,Post-transition,600,0.1633141331222447,0.15396677465642983,0.1782290974660719,1.4667131116354302,257.52
binomial_full,Post-transition,800,0.1194276035540841,0.10425531914893617,0.13102932719953997,1.3461190902533011,187.56
binomial_full,Pre-transition,25,0.8887796145574981,0.8840281221284048,0.8934414062385407,4.354368647092323,5464.76
binomial_full,Pre-transition,50,0.8241381452081901,0.8160577692324239,0.8317394667544438,3.20808845365441,3123.32
binomial_full,Pre-transition,75,0.7802185757424717,0.7741263361531904,0.7883371298405467,2.736507842690875,2196.36
binomial_full,Pre-transition,100,0.7465306762212779,0.7337293584705877,0.7599336708489252,2.4424077768168506,1663.64
binomial_full,Pre-transition,150,0.6204645195062689,0.61095110255504,0.6296329215779356,2.072114639857146,1096.28
binomial_full,Pre-transition,200,0.5512275397133137,0.5128334245575625,0.5682947150763242,1.8725577096113455,812.68
binomial_full,Pre-transition,300,0.41155891426664454,0.3889443480352571,0.426895805792573,1.6627525605893287,476.96
binomial_full,Pre-transition,400,0.3198642888723368,0.3066615084189971,0.3304615384615385,1.4964868940392608,323.64
binomial_full,Pre-transition,600,0.18042034358830072,0.17580257464879012,0.184995544995545,1.3567620161960494,188.04
binomial_full,Pre-transition,800,0.13380927016849378,0.11168582375478928,0.1672566371681416,1.3182197248710605,115.2
block,Neutral,25,0.88206441257689,0.8736295343141706,0.8919604711618178,4.272275198489356,5399.48
block,Neutral,50,0.8276362373211136,0.8091507086482337,0.8396490098644724,3.1756470899773346,3082.04
block,Neutral,75,0.7841989646795465,0.7616346916770085,0.7996528447444552,2.706170435985044,2126.72
block,Neutral,100,0.7332314831548145,0.7041515244841392,0.7573181532063132,2.4100106848907834,1622.4
block,Neutral,150,0.6222803018884899,0.5909025111255156,0.6477089935338154,2.0597879927431286,1065.72
block,Neutral,200,0.5188587313438944,0.4619515343542804,0.5544052389532851,1.831364212737105,772.08
block,Neutral,300,0.36280823698702946,0.3038858496418702,0.3985170205594877,1.5928205822173225,484.2
block,Neutral,400,0.20218097742268581,0.15484841471881508,0.2827823115327453,1.4685984112535084,325.72
block,Neutral,600,0.11228952761186126,0.07070524412296564,0.1443001443001443,1.3188593898890293,176.96
block,Neutral,800,0.0796288401902552,0.059426847662141784,0.0928378898729303,1.2669574079682873,111.96
block,Post-transition,25,0.9052061489290193,0.897712278035383,0.9147027023375067,4.826530313767487,5650.64
block,Post-transition,50,0.8507819494039894,0.838896473922164,0.8671387838591706,3.50949232457626,3275.32
block,Post-transition,75,0.7976348294892506,0.7814073618356552,0.813689458024443,2.9796442477631477,2318.8
block,Post-transition,100,0.7578488058364721,0.7417461340206186,0.7745376465443055,2.6267337506019874,1809.12
block,Post-transition,150,0.7038383193887354,0.6772462035208398,0.7303975382419836,2.263952324440806,1229.84
block,Post-transition,200,0.6532218490069763,0.6219166952304782,0.6804065968260554,2.063250923308254,901.92
block,Post-transition,300,0.5260837723227625,0.4994774874930517,0.5576179674770774,1.8128033744569634,554.92
block,Post-transition,400,0.4092025898693169,0.3554801372725316,0.45203009759368246,1.6185407847809492,405.96
block,Post-transition,600,0.1482187344124181,0.10864608684513898,0.20508104507438382,1.432478621412303,235.0
block,Post-transition,800,0.10916661730955012,0.08359052711993889,0.1307608695652174,1.3004749792974541,164.36
block,Pre-transition,25,0.8931043851183234,0.8775822751997533,0.90302843760455,4.446862596422588,5834.72
block,Pre-transition,50,0.8368255221719337,0.8178145315573238,0.8531842398214672,3.282049698626441,3283.4
block,Pre-transition,75,0.7869301560690423,0.7647905575087895,0.8032166677820161,2.775533279568565,2294.4
block,Pre-transition,100,0.7428736713975461,0.7066515550280119,0.7668162464569951,2.4771941658173757,1741.28
block,Pre-transition,150,0.6419824873116012,0.5908409673247274,0.6730676296728115,2.110582956627168,1148.6
block,Pre-transition,200,0.5663117494812581,0.4969736842105263,0.6070696847012637,1.904439492796593,841.6
block,Pre-transition,300,0.4134295016780895,0.3412016480076868,0.4752508078057315,1.6593480373148066,503.84
block,Pre-transition,400,0.31386373478174073,0.23744712430426718,0.35479788540609813,1.5219533224219735,339.52
block,Pre-transition,600,0.1871237593554278,0.1435306795985721,0.23155117202510564,1.37854288854225,191.72
block,Pre-transition,800,0.1538517738957933,0.1019047619047619,0.20772209315189732,1.3326975648343866,121.72
hypergeometric,Neutral,25,0.881077938472314,0.8776292796249063,0.8845750035031639,4.216878306460277,5128.04
hypergeometric,Neutral,50,0.8276661816874483,0.8235851586845584,0.8317813929517789,3.150982991922125,2965.28
hypergeometric,Neutral,75,0.7829247647921284,0.7761750725471857,0.7899580764679037,2.6914868281779145,2038.88
hypergeometric,Neutral,100,0.7263557564612931,0.718419092029155,0.7362760181357301,2.3840309508050006,1583.48
hypergeometric,Neutral,150,0.6101847785386932,0.5983211705510411,0.622759453614328,2.042996484428871,1035.04
hypergeometric,Neutral,200,0.5340495062752361,0.5230747925388557,0.5430019526007485,1.8102931425599724,754.0
hypergeometric,Neutral,300,0.36678813690677486,0.3562969319888436,0.3736829208527322,1.5899635770176586,474.08
hypergeometric,Neutral,400,0.18828095302526962,0.1763924212850693,0.19573717948717947,1.4613759514463112,317.84
hypergeometric,Neutral,600,0.11259789763891231,0.09006008359456635,0.12571900371542588,1.2943916557949495,171.64
hypergeometric,Neutral,800,0.09057837906075923,0.08349481265540598,0.09345794392523364,1.2717486085976182,109.08
hypergeometric,Post-transition,25,0.9023575144421916,0.8985321436413625,0.9063351639986693,4.736121455955321,5347.12
hypergeometric,Post-transition,50,0.8437100992714184,0.8372847418853696,0.8498459181917157,3.461133573534411,3130.52
