scheme,w,contrast,n_replicates,mean_difference,ci_lo,ci_hi,share_positive
binomial,75,Post-transition - Neutral,25,0.011168355866566166,0.0002563394808647203,0.02324732891596326,0.96
binomial,75,Post-transition - Pre-transition,25,0.010697595454110385,0.0028180513157456846,0.021696165361730024,1.0
binomial,75,Pre-transition - Neutral,25,0.0004707604124557818,-0.0122328839489791,0.011208751719262186,0.52
binomial,100,Post-transition - Neutral,25,0.029515918229091345,0.01947713597508809,0.03885609347427184,1.0
binomial,100,Post-transition - Pre-transition,25,0.006069654711821681,-0.008648912476298065,0.01864406083878178,0.68
binomial,100,Pre-transition - Neutral,25,0.023446263517269667,0.007568533003758348,0.03836656021605036,1.0
binomial,150,Post-transition - Neutral,25,0.09106936929992916,0.07418942738396217,0.10402590960772781,1.0
binomial,150,Post-transition - Pre-transition,25,0.0759365841120391,0.05879719673520985,0.09201300304950887,1.0
binomial,150,Pre-transition - Neutral,25,0.015132785187890069,0.0016756698794997418,0.030089379144682182,1.0
binomial,200,Post-transition - Neutral,25,0.12597317259146487,0.10006859686475426,0.14038656208901754,1.0
binomial,200,Post-transition - Pre-transition,25,0.10295947924833239,0.07910844863834172,0.12339793479062428,1.0
binomial,200,Pre-transition - Neutral,25,0.023013693343132476,0.007310914979901973,0.04081453713236098,1.0
binomial,300,Post-transition - Neutral,25,0.15635614496533365,0.13285341832486294,0.177764939029203,1.0
binomial,300,Post-transition - Pre-transition,25,0.11185725650054824,0.08779385593005312,0.13680821464366164,1.0
binomial,300,Pre-transition - Neutral,25,0.04449888846478544,0.02682982864063129,0.06587796461416635,1.0
binomial,400,Post-transition - Neutral,25,0.2241736024002921,0.1924957232391351,0.2403532078727387,1.0
binomial,400,Post-transition - Pre-transition,25,0.09742015311455925,0.06832830719778396,0.12395715649559721,1.0
binomial,400,Pre-transition - Neutral,25,0.1267534492857329,0.11246239001056194,0.14123979347779647,1.0
binomial,600,Post-transition - Neutral,25,0.035200934805946986,0.004943886127394346,0.06622697621329628,1.0
binomial,600,Post-transition - Pre-transition,25,-0.02901037408521463,-0.05623229397878564,-0.012002301317037507,0.0
binomial,600,Pre-transition - Neutral,25,0.06421130889116161,0.04923535000677609,0.08687440853719919,1.0
