time,Method,Value,Data,Frequency
2012-03-01,Loess (0.1),1.41939682908203,Media,Daily
2012-03-01,Loess (0.25),1.72635836553955,Media,Daily
2012-03-01,First Difference,1.27303412277577,Media,Daily
2012-03-02,Original,99.7600258949085,Media,Daily
2012-03-02,Linear,0.0702898119782732,Media,Daily
2012-03-02,Loess (0.1),0.440546896095867,Media,Daily
2012-03-02,Loess (0.25),0.739293327346033,Media,Daily
2012-03-02,First Difference,-0.985854397847547,Media,Daily
2012-03-03,Original,98.6498185199567,Media,Daily
2012-03-03,Linear,-1.04002879942853,Media,Daily
2012-03-03,Loess (0.1),-0.662667454371459,Media,Daily
2012-03-03,Loess (0.25),-0.372127337613193,Media,Daily
2012-03-03,First Difference,-1.11020737495176,Media,Daily
2012-03-04,Original,98.88271427249,Media,Daily
2012-03-04,Linear,-0.807244283350315,Media,Daily
2012-03-04,Loess (0.1),-0.422789680233592,Media,Daily
2012-03-04,Loess (0.25),-0.140447572017834,Media,Daily
2012-03-04,First Difference,0.232895752533253,Media,Daily
2012-03-05,Original,100.228334176015,Media,Daily
2012-03-05,Linear,0.538264383720116,Media,Daily
2012-03-05,Loess (0.1),0.929801679513815,Media,Daily
2012-03-05,Loess (0.25),1.20395360037038,Media,Daily
2012-03-05,First Difference,1.34561990352547,Media,Daily
2012-03-06,Original,100.124824952667,Media,Daily
2012-03-06,Linear,0.434643923916961,Media,Daily
2012-03-06,Loess (0.1),0.833253784502105,Media,Daily
2012-03-06,Loess (0.25),1.09922285441672,Media,Daily
2012-03-06,First Difference,-0.103509223348112,Media,Daily
2012-03-07,Original,99.5481307082993,Media,Daily
2012-03-07,Linear,-0.142161556906138,Media,Daily
2012-03-07,Loess (0.1),0.263511178082041,Media,Daily
2012-03-07,Loess (0.25),0.521304248705889,Media,Daily
2012-03-07,First Difference,-0.576694244368056,Media,Daily
2012-03-08,Original,99.5814015300897,Media,Daily
2012-03-08,Linear,-0.109001971570714,Media,Daily
