fecha,promedio_normalizado,indice_cti,Data,Temporalidad
2015-11-08,-0.430822434052672,99.5691775659473,Medios,Diario
2015-11-09,0.101809672827553,100.101809672828,Medios,Diario
2015-11-10,-0.0758929097795366,99.9241070902205,Medios,Diario
2015-11-11,-0.48971365967058,99.5102863403294,Medios,Diario
2015-11-12,-0.241806486997683,99.7581935130023,Medios,Diario
2015-11-13,-0.718611054647298,99.2813889453527,Medios,Diario
2015-11-14,0.740603599853767,100.740603599854,Medios,Diario
2015-11-15,0.0932274859931285,100.093227485993,Medios,Diario
2015-11-16,-0.383305988211478,99.6166940117885,Medios,Diario
2015-11-17,-0.788733193689528,99.2112668063105,Medios,Diario
2015-11-18,-0.345556248956899,99.6544437510431,Medios,Diario
2015-11-19,-0.179353672608725,99.8206463273913,Medios,Diario
2015-11-20,0.270425666664807,100.270425666665,Medios,Diario
2015-11-21,-0.498187455952944,99.5018125440471,Medios,Diario
2015-11-22,-1.54813208694431,98.4518679130557,Medios,Diario
2015-11-23,-0.242641303597427,99.7573586964026,Medios,Diario
2015-11-24,0.052825037448696,100.052825037449,Medios,Diario
2015-11-25,-0.595753267877926,99.4042467321221,Medios,Diario
2015-11-26,-0.157638655208681,99.8423613447913,Medios,Diario
2015-11-27,-0.502382903493054,99.4976170965069,Medios,Diario
2015-11-28,0.440605179422562,100.440605179423,Medios,Diario
2015-11-29,-1.46144093529477,98.5385590647052,Medios,Diario
2015-11-30,-0.342173815197302,99.6578261848027,Medios,Diario
2015-12-01,-0.0128779523000775,99.9871220476999,Medios,Diario
2015-12-02,-0.0576234661818682,99.9423765338181,Medios,Diario
2015-12-03,-0.626713609072635,99.3732863909274,Medios,Diario
2015-12-04,0.126662983706733,100.126662983707,Medios,Diario
2015-12-05,0.654764933337668,100.654764933338,Medios,Diario
2015-12-06,0.464521733638733,100.464521733639,Medios,Diario
2015-12-07,-0.267108812238925,99.7328911877611,Medios,Diario
2015-12-08,-0.642146708674837,99.3578532913252,Medios,Diario
2015-12-09,-0.115531671621504,99.8844683283785,Medios,Diario
2015-12-10,-0.529249830590614,99.4707501694094,Medios,Diario
2015-12-11,-0.0103051912236643,99.9896948087763,Medios,Diario
2015-12-12,0.0298430401260703,100.029843040126,Medios,Diario
2015-12-13,0.355768924304395,100.355768924304,Medios,Diario
2015-12-14,0.141992212214739,100.141992212215,Medios,Diario
2015-12-15,-0.308240787647494,99.6917592123525,Medios,Diario
2015-12-16,0.0801006696917294,100.080100669692,Medios,Diario
2015-12-17,0.11104544042984,100.11104544043,Medios,Diario
2015-12-18,-0.464085870475931,99.5359141295241,Medios,Diario
2015-12-19,-1.02096752729856,98.9790324727015,Medios,Diario
2015-12-20,-0.586021000426128,99.4139789995739,Medios,Diario
2015-12-21,0.225981699175878,100.225981699176,Medios,Diario
2015-12-22,-0.149088590110156,99.8509114098898,Medios,Diario
2015-12-23,0.453230818366162,100.453230818366,Medios,Diario
2015-12-24,-0.914481988653545,99.0855180113465,Medios,Diario
2015-12-25,-0.568800713220939,99.4311992867791,Medios,Diario
2015-12-26,0.131447457840557,100.131447457841,Medios,Diario
2015-12-27,0.64008687740875,100.640086877409,Medios,Diario
2015-12-28,0.143551097431103,100.143551097431,Medios,Diario
2015-12-29,0.0676975171459827,100.067697517146,Medios,Diario
2015-12-30,-0.262336505966058,99.7376634940339,Medios,Diario
2015-12-31,-0.872170283651455,99.1278297163485,Medios,Diario
2016-01-01,-0.093206276814026,99.906793723186,Medios,Diario
2016-01-02,0.165265947294819,100.165265947295,Medios,Diario
2016-01-03,0.0446316407877016,100.044631640788,Medios,Diario
2016-01-04,-0.224925338169182,99.7750746618308,Medios,Diario
2016-01-05,-0.359846378567484,99.6401536214325,Medios,Diario
2016-01-06,-0.503231655616829,99.4967683443832,Medios,Diario
2016-01-07,0.284861325509879,100.28486132551,Medios,Diario
2016-01-08,-0.567770890551275,99.4322291094487,Medios,Diario
2016-01-09,0.822930333240741,100.822930333241,Medios,Diario
2016-01-10,-0.131215170202326,99.8687848297977,Medios,Diario
2016-01-11,0.0616496331205278,100.061649633121,Medios,Diario
2016-01-12,0.353307345904225,100.353307345904,Medios,Diario
2016-01-13,-0.0548478012509271,99.9451521987491,Medios,Diario
2016-01-14,-0.0455240043529439,99.9544759956471,Medios,Diario
2016-01-15,-0.899391712257574,99.1006082877424,Medios,Diario
2016-01-16,0.344933233168571,100.344933233169,Medios,Diario
2016-01-17,-0.398772132990449,99.6012278670096,Medios,Diario
2016-01-18,0.146255973917223,100.146255973917,Medios,Diario
2016-01-19,-0.00659029481809685,99.9934097051819,Medios,Diario
2016-01-20,0.235449339438833,100.235449339439,Medios,Diario
2016-01-21,-0.711791358268137,99.2882086417319,Medios,Diario
2016-01-22,-0.0687319116204936,99.9312680883795,Medios,Diario
2016-01-23,-0.410121676119495,99.5898783238805,Medios,Diario
2016-01-24,-0.376727529541179,99.6232724704588,Medios,Diario
2016-01-25,-0.692733018837746,99.3072669811623,Medios,Diario
2016-01-26,-0.224385365890419,99.7756146341096,Medios,Diario
2016-01-27,-0.629259301761834,99.3707406982382,Medios,Diario
2016-01-28,0.230234505869586,100.23023450587,Medios,Diario
2016-01-29,-0.525795398024836,99.4742046019752,Medios,Diario
2016-01-30,0.0146188498579,100.014618849858,Medios,Diario
